Institution,"Spatial Jurisdiction
(UNCLOS Zones)",Indirect/Broad Engagement,Subject Matter Jurisdiction,Source of Jurisdiction,Defined Objectives,Strategies,Defined Inter-institutional Relationship,Vertical Coordination,Horizontal Coordination
UNFPA,No direct jurisdiction,"Addresses population issues,  
(coastal communities)",,,,,,,
UN-Habitat,No direct jurisdiction,"Urban planning in coastal cities  
(no direct jurisdiction)",,,,,,,
WFP,No direct jurisdiction,"Provides food aid,  
sometimes in maritime or coastal zones",,,,,,,
UNWTO,No direct jurisdiction,"Covers tourism development,  
including coastal/marine tourism",,,,,,,
UNRISD,No direct jurisdiction,"Social development research,  
can include marine/coastal communities",,,,,,,
BRS,No direct jurisdiction,"Regulates hazardous chemicals/waste  
with marine implications",,,,,,,
CBD,"Internal Waters,  
Territorial Seas,  
Archipelagic Waters,  
Contiguous Zone,  
EEZ,  
Continental Shelf,  
High Seas,  
(Indirect coverage of the Area)","Global biodiversity treaty,  
including marine/coastal ecosystems",,,,,,,
CITES,No direct jurisdiction,"Regulates trade in listed marine species,  
wherever caught",,,,,,,
CMS,No direct jurisdiction,"Covers migratory marine species  
crossing EEZs/high seas",,,,,,,
IFAD,No direct jurisdiction,"Supports rural/coastal livelihoods,  
(fisheries, aquaculture)",,,,,,,
ITC,No direct jurisdiction,"Facilitates trade,  
including fish products",,,,,,,
UNCCD,No direct jurisdiction,"Focuses on land degradation,  
minimal direct marine relevance",,,,,,,
UNU,No direct jurisdiction,"Academic research on ocean governance,  
climate,  
resources",,,,,,,
Ramsar,"Internal Waters,  
Territorial Seas (for intertidal wetlands),  
Archipelagic Waters (if wetlands present)","Conserves wetlands of international importance,  
including coastal areas",,,,,,,
Minamata,No direct jurisdiction,"Restricts mercury pollution  
affecting all waters",,,,,,,
UNOOSA,No direct jurisdiction,"Oversees space-based observation  
useful for ocean monitoring",,,,,,,
UNODC,No direct jurisdiction,"Addresses maritime crime (piracy, trafficking)  
in territorial seas, EEZ, high seas",,,,,,,
