File Name,Abstract,Introduction,Conclusion,Keywords,Type
Epistemic Communities_Constructivism_and International Environmental Politics.pdf,"Climate change adaptation is increasingly being mainstreamed into all types of
organizations across the world. A large number of intergovernmental organizations
(IGOs), such as the European Union, the World Bank, or Food and Agriculture
Organization, have already started to mainstream adaptation. Yet, despite a surge
in scholarly interest in climate policy integration over the past decade, adaptation
is still predominantly studied as a local issue and mainstreaming in IGOs remains
poorly understood. In this article, we develop and test an innovative framework for
examining adaptation mainstreaming practices in IGOs. Using quantitative and
qualitative data derived from extensive ﬁeldwork conducted between 2017 and
2020, we examine mainstreaming practices in a large number of IGOs and arrive at
two key ﬁndings. First, adaptation has been mainstreamed within the procedures
and outputs of IGOs across ten (nonclimate) issue areas, while there is also
evidence of important issue-speciﬁc variation. Second, there is variation across
mainstreaming practices in the sense that discursive mainstreaming is most
common, whereas more concrete collaboration, policy change aﬀecting projects
and programs, and budget allocations are less common. We conclude with a
discussion of how our framework can inform the theory and practice of global
adaptation governance.",,"Global adaptation governance is emerging as an important ﬁeld of inquiry (Persson, 2019), yet we know little
about the dynamics of adaptation mainstreaming within IGOs. Given that IGO mainstreaming practices are
central to the theory and practice of global adaptation governance, more research is needed on this topic
(see also Tosun & Peters, 2018). Prior studies have considered the beneﬁts, inconsistencies, lacunae, redundan-
cies, and trade-oﬀs associated with CPI and EPI (e.g. Jordan & Lenschow, 2010; Van Asselt et al., 2015). To assess
impacts, we need a better understanding of the ways and extent to which IGOs have mainstreamed adaptation.
With that in mind, this article has conceptualized adaptation mainstreaming in IGOs as a set of practices. We
have developed an analytical framework to analyse adaptation mainstreaming in IGOs, distinguishing between
four major types of mainstreaming practices: discursive, collaboration, programs and projects, and
budget allocation. Our quantitative and qualitative evidence suggests two key ﬁndings.
First, adaptation has been mainstreamed into the procedures and outputs of many IGOs, but to varying
degrees and typically without allocation of budgetary resources to ensure action. While IGOs are favourable
to discursively interpret their mandates as including climate change adaptation, there is comparatively
weaker mainstreaming through its concrete operations in the form of collaboration, and integration into pro-
jects and programs. We also ﬁnd evidence for failure to follow through to action through the allocation of bud-
getary resources to enable the mainstreaming adaption in projects and programs.
This ﬁnding underlines previous studies arguing there is an implementation deﬁcit in adaptation govern-
ance (see also Runhaar et al., 2018). As adaptation has only recently been formally recognized as a global
issue in the 2015 Paris Agreement, discursive practices for many IGOs still appear to constitute a critical ﬁrst
step in which the relevance of adaptation is negotiated and contested. By contrast, other mainstreaming prac-
tices are comparatively rare, especially if they require explicit budgetary allocations. Indeed, funding ﬂowing to
IGOs is increasingly voluntary and earmarked, while adaptation funding is still scarce (Hall, 2017), implying that
IGOs have little the ﬁscal capacity or wiggle room to address adaptation challenges.
Second, we ﬁnd important variation in the extent of adaptation mainstreaming across the ten diﬀerent issue
areas studied here. Mainstreaming adaptation has advanced most in IGOs focused on food and development
and least in those focused on migration and security. Despite this dynamic, the data has uncovered two central
puzzles that are worth highlighting. The ﬁrst is that FAO stands out as a leader in its discursive mainstreaming of
adaptation, yet FAO is amongst the least advanced in the allocation of budgetary resources to adaptation.
Second, regional multi-issue IGOs are shown to be the most advanced to allocation of budgetary resources
to adaptation mainstreaming. As adaptation funds tend to privilege agricultural, development, and water pro-
jects, this is a surprising outcome, but may reﬂect the unequal access of IGOs to these funds. Explaining this is a
topic for future research that might comparatively assess possible explanations for the variation in IGO adap-
tation mainstreaming, for example, across diﬀerent types of organizations and diﬀerent types of mainstreaming
practices, issue areas, and time frames.
Based on our analysis, we identiﬁed key barriers to successful mainstreaming. Barriers include: opposition
from powerful states; institutional fragmentation; scarce external funding available for IGOs working on issue areas typically not associated with adaptation; and incompatibility between principles and time horizons
for adaptation versus the target issue area for the IGO. Opposition to adaptation from powerful member states
often leads to a reliance on discursive mainstreaming, which can in turn generate either support or resistance to
mainstreaming in practice, and is thus consequential for other mainstreaming practices (see also Dellmuth
et al., 2020). Institutional fragmentation constituted a signiﬁcant barrier for collaborative practices, in particular
in cases where IGOs faced ‘conﬂictive fragmentation’ characterized by relatively siloed institutions and conﬂict-
ing norms. Finally, funding constraints and time horizons inﬂuence all mainstreaming practices.
Future research could fruitfully build on our exploratory analysis to explain the conditions under which these
barriers aﬀect variation in IGO mainstreaming practices. Notably, large-n studies or qualitative comparative case
studies (cf. George & Bennett, 2005) could analyse the eﬀects of intra-organizational processes on mainstream-
ing outcomes. For instance, two IGOs within the same issue area with varying degrees of mainstreaming, such
as AFDB and WB, or IOM and UNHCR, could be studied in terms of how variation in intra-organizational
dynamics through which international bureaucrats respond to structural barriers can explain mainstreaming
outcomes in otherwise similar external contexts. Comparison could also be made across issues areas in
which external factors vary strongly, to systematically analyse how and when external factors shape variation
in global practices to mainstream adaptation. To paraphrase Van Asselt et al. (2015), actors must consider the
functional relationship between adaptation and external factors, such as the target sector, political commit-
ment, institutional contexts, and politicization or public engagement.
In summary, additional research is needed to evaluate the causes and consequences of diﬀerent approaches
to IGO mainstreaming and to understand how this aﬀects outcomes in the context of global adaptation
governance.",,
From norms to programs_The United Nations Global Compact and global governance_ Berliner2012.pdf,"Global warming, the ozone hole, toxic chemicals, endangered species – such
topics are now part of our daily news. There has been a concurrent growth in
interest in the institutions that deal with global environmental issues. A vast
number of international organizations address these matters; this volume
provides an overview of the major global institutions attempting to protect the
natural environment.
It first considers the United Nations Environment Programme and the
other entities within the United Nations that play important roles in global
environmental governance. It then examines institutions clustered by issue
area, introducing institutions that focus on protecting endangered species and
biodiversity, those that govern the ocean environment, those focusing on the
atmosphere, and a recent set of institutions that regulate the transboundary
movement of hazardous substances. It concludes with current debates on
financing international environmental action, gaining widespread participation
by states, and the question of whether the institutional structure of global
environmental governance can, and should, be fundamentally reformed. The
volume as a whole focuses on:
the underlying causes of global environmental problems;
the creation of global environmental institutions;
the effectiveness of action undertaken by these institutions.",,,,
Global adaptation governance_how intergovernmental organizations mainstream climate change adaptation.pdf,"The article by Lisa Maria Dellmuth and Maria-Therese Gustafsson examines the integration of climate change adaptation into the practices of intergovernmental organizations (IGOs) following its recognition as a global issue in the 2015 Paris Agreement. The authors argue that while adaptation has been increasingly mainstreamed across various non-climate issue areas, significant variation exists in the extent and effectiveness of this integration, with discursive practices being the most common form of mainstreaming. They identify key barriers to successful adaptation mainstreaming, including opposition from powerful states, institutional fragmentation, and limited funding. The research highlights the need for a more comprehensive understanding of adaptation governance, suggesting that future studies should explore the dynamics of adaptation practices across different IGOs and issue areas. Ultimately, the article contributes to the discourse on global adaptation governance by providing a framework for analyzing how IGOs can better incorporate adaptation strategies into their operations and policies, thereby enhancing their capacity to address climate challenges effectively.",,,,Reviews
Global Environmenetal Institutions.pdf,"International organizations are critical for global environmental
policymaking as catalytic agents of desirable change, and in the case of the
United Nations Environment Program (UNEP) as the coordinative
mechanism as well. Only in the face of severe degradation or impending
catastrophies has the world community responded to challenges. However,
for the policy to be effective, the necessary financial support needs to be
generated, assured, and vastly increased; and the locus of policy making
shifted to a main organ of the United Nations-conceivably as an
Environmental Council, supplanting the Trusteeship Council and being
co-equal in status with the Economic and Social Council, with the UNEP as
its coordinative arm.",,"The Stockholm Conference of 1972 ushered in a new era of environmental
consciousness and activity in the international community. The creation of UNEP
provided an institutional framework for dealing with the environmental problems in
the world. The coordinative and catalytic role of UNEP has proved valuable in
orchestrating policy responses at various levels-national, regional, international,
and global-in relation to continuing and emergent environmental challenges.
Unfortunately, the voluntary contributions by governments to UNEP's Environmen-
tal Fund have been woefully short of what is needed to make an impact on a rapidly
deteriorating situation. An adequate program of reforestation alone is likely to cost an
estimated $60 billion between 1989 and 2000 (Brown and Wolf, 1988: 173-176;
WCED, 1987: ch. 12). Hence, generating financial support is one of the most critical
challenges confronting the global environmental policy.
The Montreal Protocol may have established an operative principle of global
policy: that an equitable distribution of the economic/opportunity costs of
environmental regulation of the commons is imperative for generating global
response. In regard to the ""greenhouse"" issue, there appears to be no policy choice
available now which can help avert the warming of the planet during the next
century. The cumulative damage has already been done; and it cannot be undone
""quickly."" Several other lessons from the global environmental policy experience may
be posited briefly:
-nations will agree to act collectively only when their perception of threat/risk from
an impending or actual global environmental catastrophe is acute and direct;
-nations will give higher priority to economic/developmental factors in cases of
moderate or low perceptions of threat/risk from environmental crises, especially
when there is a conflict between economic and environmental considerations;
-the long-established habits of doing ""business-as-usual"" at the international level
are likely to change very slowly if no impetus is available to transform them in
desirable ways;
-the necessary impetus is likely to come from the IGOs, such as UNEP or other aagencies in the United Nations system, INGOs such as IUCN or WWF, from some
of the environmentally enlightened national leaders such as Prime Minister
Brundtland of Norway, or from the environmental movements at the grassroots
level within and among nations, such as the Chipko movement in India, or the
Greens in Europe;
-as the pressures on the global eco-system increase, and crises unfold, more global
policy responses are likely to be forthcoming, and the scope of policy making is
likely to widen-thus encompassing more issue areas. However, lack of adequate
funding and/or political will to take appropriate action in time will act as severe
constraints on global environmental policy and corresponding action within
national jurisdictions.
The implications of these observations for global environmental policy may also be
stated rather tersely. The move toward a sustainable society globally will require
drastic changes in the lifestyles of the affluent cultures in the developed nations.
Technology is a two-edged instrument; it will have to be harnessed wisely and
appropriately. The developing nations will have to commit themselves to a
substantial curbing of their population growth in the near future. As the economic
problems of a large number of developing nations become more intractable, their
already weak commitment to environmental protection and restoration is likely to
slacken further. Immense financial resources will have to be generated and made
available globally on very reasonable terms to address the twin challenges of
environmental preservation as well as promoting sustainable development.
UNEP may have to coordinate more intensively global policy responses and their
effective implementation. That, however, requires more stable and vastly increased
funding, and raising the status of that organization. Already there are proposals in the
UN for involving the Security Council in the peace-related aspects of environmental
degradation. It may well be that the UN could be made more effective in its
environmental role if the Trusteeship Council, whose work is almost done, were to be
replaced with an Environmental Council with the same status as the Economic and reducing further environmental degradation may be tolerable. In the long run, the
challenge is to restore the planet. Environmental logic demands broad-based
international cooperation and coordination of policies, and requires the international
community to evolve effective global environmental policies. Given the magnitude of
the problems, and their profound implications, there is no place for exclusive national
responses in addressing most of these challenges. The fate of the Earth, as well as our
own, depends on what we choose to do
Social Council. Then, UNEP could become the coordinative arm of the
Environmental Council. Putting into effect the UNCLOS III Convention of 1982,
and releasing its potential as a funding source, may also help anchor the fragile
environmental policy framework. In some cases, global environmental policy
responses have already turned out to be ""too little, too late."" Diversion of excessive
expenditures from thermonuclear weapons systems to environmental preservation
may help the world community avoid the global catastrophe of a ""nuclear winter.""
And, even in the conventional arms area, there is immense scope for disarmament
and thus for the reallocation of funds to global environmental tasks. In other areas,
nations do not seem to be ""learning"" from experience so far. A convention permitting
regulated development of oil and mineral resources of all of Antarctica, initialled by
33 nations in Wellington, New Zealand, in June 1988 frustrates efforts to have
Antarctica declared a World Conservation Area in order to protect the unspoilt
nature of this integral component of the global eco-system. The convention is to take
effect as soon as 16 of the 20 voting members of the Antarctic Treaty of 1959 ratify th
agreement. Thus, it would seem that the economic calculation of nations is about to
prevail, with potentially disastrous consequences for the global eco-system. An
informed and wise global policy requires ""anticipatory"" thinking as well as concerted
and timely actions undertaken with a sense of urgency which has characterized recent
policy developments with regard to ozone depletion. In the short run, policies of",,Journal
Global Environmental Commons_Analytical and Political Challenges in Building Governance Mechanisms.pdf,"Document 1 (Page 4): The essays in this collection provide valuable insights into urban planning and economics, particularly in international contexts. Authors Martim Smolka and Ciro Biderman challenge the stereotypical view of slums by highlighting the strategic choices made by low-income individuals regarding housing and transportation, suggesting that transport costs can serve as a substitute for monetary credit. Margaret Grieco emphasizes the need for improved transportation planning in African cities, advocating for infrastructure that supports local economies and accessibility for marginalized groups. However, the book lacks comprehensive discussions on benefit-cost analysis, nonprofit organizations, feminist perspectives, and communicative planning, which are essential for a holistic understanding of urban issues. The text is primarily aimed at educators and students in urban economics and planning, offering theoretical frameworks and empirical reviews, though some essays may be overly technical for practical planners.

Document 2 (Page 2): This review highlights the multifaceted nature of urban economics and planning, emphasizing the importance of understanding various themes such as economic development, public finance, and international settings. The authors aim to provide a theoretical foundation rather than practical solutions, making the book more suitable for academics than practicing planners. The extensive literature reviews included in the essays serve to connect theoretical concepts to real-world applications, although some contributions may be dense and challenging for students. The text ultimately seeks to stimulate discussion and enhance the teaching of urban economics, while also acknowledging the differences in perspectives between urban economists and planners, particularly regarding policy implications and equity considerations.

Document 3 (Page 17): The prologue of the reviewed book sets the stage for a comprehensive exploration of creativity research, outlining four key areas of focus: process, product, person, and place. This framework serves as a foundation for understanding the dynamics of creativity and its implications across various fields. The chapter emphasizes the interconnectedness of these elements, suggesting that a holistic approach is necessary for a deeper understanding of creativity. By examining these interrelated aspects, the book aims to contribute to the ongoing discourse on creativity, providing insights that can inform both academic research and practical applications in diverse contexts.

Document 4 (Page 5): Larry N. Gerston's extensive work on California presents a critical examination of the state's socio-political landscape, characterized by complexity and challenges. The book is structured into four major sections, each addressing different facets of California's issues, from its political dynamics to economic disparities. Gerston's narrative reveals a state in decline, grappling with governance challenges and a lack of urgency among its leaders. While the breadth of topics covered is impressive, the depth of analysis often feels shallow, with many themes presented in a fragmented manner. The strongest sections focus on political structures and the impact of special interests, providing valuable insights into the state's fiscal crisis and governance challenges, ultimately calling for a more engaged and informed citizenry to address these pressing issues.

Document 5 (Page 3): The review discusses the contributions of various authors to the understanding of urban issues, particularly the interplay between government actions and public opposition. It highlights the importance of interest groups in shaping urban policy and the paradox of urban ills often resulting from government interventions. The essays collectively emphasize the need for a nuanced understanding of urban economics, advocating for recognition of mutual interests and the role of behavioral economics in planning. Notably, the review praises Nancy Brooks for her practical advice on teaching urban economics to planners, while also acknowledging the challenges posed by complex economic models. Overall, the collection serves as a valuable resource for both educators and students, fostering critical discussions on urban policy and planning.",,,,Reviews
Global Environmental Degradation and International Organizations.pdf,"This article provides a focused review of the current literature on global
environmental governance. In the ﬁrst part, we differentiate between
three usages of the term “global environmental governance,” which we
describe as analytical, programmatic, and critical. In the second part,
we highlight three key characteristics of global environmental gover-
nance that make it different, in our view, from traditional international
environmental politics: ﬁrst, the emergence of new types of agency and
of actors in addition to national governments, the traditional core ac-
tors in international environmental politics; second, the emergence of
new mechanisms and institutions of global environmental governance
that go beyond traditional forms of state-led, treaty-based regimes; and
third, increasing segmentation and fragmentation of the overall gover-
nance system across levels and functional spheres. In the last section,
we present an outlook on future study needs in this ﬁeld.",,"SUMMARY POINTS
1. The term global (environmental) governance is used in three different notions: as an
analytic description of current transformations of global politics, as a political program
in the afﬁrmative sense, and as a political program in the critical sense.
2. In particular, global environmental governance describes world politics that are no longer
conﬁned to the governments of nation states, but are characterized by increasing partic-
ipation and relevance of other actors. These nonstate actors include experts and scien-
tists, environmentalist nongovernmental organizations, business associations, cities and
provinces, as well as intergovernmental bureaucracies.
3. The increased participation of nonstate actors has also given rise to new forms of in-
stitutions in addition to the traditional system of legally binding documents negotiated
by states. More and more nonstate actors become formally part of norm-setting and
norm-implementing institutions and mechanisms in global environmental governance,
which denotes a shift from intergovernmental regimes to public-private and increasingly
private-private cooperation and global policy making.
4. The emerging global environmental governance system is ﬁnally characterized by an
increasing fragmentation and segmentation of different layers and clusters of rule making
and rule implementing.
5. Fragmentation increases both vertically—between supranational, international, national,
and subnational layers of authority (multilevel governance)—and horizontally between
different parallel rule-making systems maintained by different groups of actors (multi-
polar governance).","institutions, interlinkages, international environmental politics,
transnational regimes",
Global environmental governance and the accountability trap.pdf,,"This volume examines the major theoretical approaches and substantive
debates in the study of IEP as reﬂ ected in a sample of graduate syllabi and
texts. 2 We have asked a number of scholars with active research agendas
in these areas to provide an account of the past study of that issue area
as well as the major questions and debates that characterize it presently. 3
We have also asked them to apply their insights to a case study of their
choice in order to illuminate both the theoretical issues that they have
addressed as well as to demonstrate how these insights can be employed
to better understand speciﬁ c questions.
As a result the volume is intended to introduce graduate and advanced
undergraduate students to the study of IEP, particularly those with
some previous exposure to international relations. It can also serve
as a complement to the types of volume mentioned above in more
introductory courses. Scholars who are embarking on the study of
IEP will also ﬁ nd this volume helpful both as a review of the relevant
literature and as a guide to how research is being done. Academicians
from various disciplines, including other areas of international relations,
who are interested in learning more about the study of IEP, either for
teaching or in order to initiate a new research project, will ﬁ nd that this
volume offers authoritative, accessible and sophisticated accounts of
research in IEP.",,,
Global Environmental Governance_Taking stock_Moving Forward_Biermann_Pattberg2008.pdf,"The journal Global Governance as International Organization delves into the evolving nature of global governance, emphasizing its decentralized and pluralistic structure. It highlights how governance has expanded beyond state actors to include non-state entities such as NGOs, corporations, and social movements, which collaboratively address global challenges. This decentralized system reflects the complexity and interdependence of the modern world, where actions at local, regional, and international levels are deeply interconnected. The journal explores governance as a sector-specific phenomenon, addressing areas like trade, health, and the environment, while acknowledging challenges such as fragmented authority, accountability, and compliance. Despite these hurdles, the flexibility and adaptability of governance systems present opportunities for innovative solutions to global issues. The evolution of governance mechanisms, from informal networks to formal institutions, showcases the dynamic and hybrid nature of this field.","Decentralization of Authority
Hybrid Governance Structures
Global Interdependence and Complexity
Role of Non-State Actors in Governance
Sectoral and Thematic Specialization
Accountability and Legitimacy in Governance
Impact of Technology on Governance Dynamics
Tensions between Globalization and Localization
Evolutionary Processes in Governance Mechanisms





",,,
Global governance and the environment.pdf,"Political opportunity structure refers to the specific features of a political system (e.g.
country) that can explain the different action repertoires, organizational forms and impa
of social movements, and social movement organizations in that specific country. With t
globalization of environmental problems and solution strategies, important parts of t
environmental movement have also become global. To what extent could the concept
international political opportunity structure (IPOS) be useful for analyzing transnationa
environmentalism in the 21st century ? In this article, four of the most important constituen
parts of IPOS (United Nations [UN], European Union [EU], World Bank, and World Tra
Organization [WTO]) and their interactions with environmental movements and environ
mental movement organizations are analyzed. Whereas the UN and EU provoke the parti
pation of a large number of transnational environmental lobby groups whose impacts, ho
ever, remain limited, the World Bank and WTO provoke more unconventional actions wit
potentially farther reaching impacts",,,environmental movements; globalization; political opportunity structure World Bank; WT,
Global governance as international organization.pdf,,"The concept of ""networks"" is gaining currency in the study of global
politics and international law. The term usually refers to a loose organization of
nonstate actors characterized by ""voluntary, reciprocal, and horizontal patterns
of communication and exchange.""' A network operating globally may include
individuals (activists, scientists, or government actors), nongovernmental
organizations
(""NGOs""),
social movements,
and intergovernmental
organizations (""IGOs""). Network members interact with each other, with states,
and with other IGOs to promote their political agendas both within and outside
institutions of global governance. Much of this network activity takes place
outside of state and intergovernmental structures. There are an increasing
number of international environmental standard-setting initiatives taken without
any participation on the part of the state, much less state primacy.' The focus of
this Article, however, is the direct and indirect participation of global networks
in international environmental decisionmaking fora, as a matter of both practice
and aspiration. The discussion below is limited to two forms of networks
involved in international environmental lawmaking, in which NGOs are key The Article's discussion begins in Section II by outlining the discourse
approach and explaining why it is arguably superior to the alternatives, especially
in the global context where preference aggregation is not a viable option. Section
III then turns to examine the involvement of ENGO and BINGO networks in
the climate debate, demonstrating how patterns of discursive interaction may be
observed both within each network and in the ways in which these networks
attempt to channel their respective agendas into the institutional deliberation. In
Section IV, this Article argues that the proposed conceptual schema is also
useful in responding to commentators who are critical of global networks'
involvement in environmental lawmaking. These critics claim that global
networks are not legitimate international actors because they answer to no one in
their power wielding political activity. Under a discourse approach, the
legitimacy of networks-both environmental and business-lies in their ability
to infuse the institutional debate with different policy perspectives and
arguments, out of which well-informed, consensual decisions may be reached.
The Article concludes by pointing to some of the implications flowing from a
discourse approach for institutional design.","Implementing the ideals of deliberative democracy has important
advantages, especially for environments characterized by a high level of cultural
pluralism, where there are enduring differences in the conceptions of the good.
Collective decisions in deliberative democracy are not made only through
aggregating pre-existing preferences of the members of the community, but
mainly through deliberation. The first, informally organized arena of deliberation
is the network, which is located within the public sphere (""weak publics"").
Members of the network attempt to influence each other's opinion by engaging in a discourse in which they examine and critique the positions of others, while
explaining the reasons for their own views. The persuasive appeal of the better
argument, under this view, is the main legitimizing factor of collective decisions.
The second deliberative arena includes formally organized institutions of the
political system, where political will-formation takes place, or in other words,
where law is created (""strong publics""). While it is important to keep civil society
separate from and independent of the political system, the interaction between
the two publics, the ""weak"" and the ""strong,"" can sometimes be genuinely
deliberative. This Article has argued that this conceptual framework is useful in
making sense of the relative success of the climate change negotiations and for
understanding the centrality of ENGO and BINGO networks in the formation
of the regime.
While the relatively inclusive approach to network input taken by the
UNFCCC resulted in a framework that has made significant strides toward the
regulative ideal of discourse, it is still far from fully conforming to it. One
difficulty identified above is the artificial distinction in the UNFCCC
nongovernmental organization admission criteria between for-profit entities
(who may not be admitted) and associations of for-profit entities (who may be
allowed in as observers). Corporate actors' inability to influence the policy
process directly was one of the factors leading to a destabilization of the
business network because it affected its ability to reach a reasoned consensus
among its members.' 23 Allowing private companies to register directly as
observers may have the same equalizing effect it had on the ENGO network, by
emphasizing the voluntary basis of participation in the network and its
nonhierarchical nature. Members then participate not because they must act
through the network, since they would have an easy alternative to voice their
arguments independently of the network, but because they truly want to
deliberate in order to reach a consensus. If consensus is not reached at the
network level, this increased flexibility of corporate participation would still
benefit the institutional deliberative process by broadening the range of business
perspectives considered in the negotiations.
Moreover, discourse does not end with the conclusion of the negotiations
and the adoption of legal instruments. The successful implementation of norms
is also part of the lawmaking endeavor, and it depends on the discursive qualities
of the process. So far, state parties to the UNFCCC have chosen not to extend
the involvement of nonstate actors beyond the treaty-making stage and to allow
them, for example, to get involved in the Non-Compliance Procedure under the
UNFCCC' 24 While the overall approach to resolving disputes relating to noncompliance with the treaty is facilitative rather than adversarial-and for that
it may exhibit distinctly discursive qualities- it is not envisioned by state parties
as particularly inclusive. Nonstate actors will not be permitted to file complaints
against violating states, or to submit questions of implementation to the
UNFCCC Compliance Committee. Only state parties may trigger the Non-
Compliance Procedure and debate the matter among themselves. Closing off
this institutional deliberative forum to the input of all affected actors may
compromise the legitimacy of the regime as it evolves in the future.",,
Global Networks and International Environmental Lawmaking_ A Disc.pdf,"A constitutional turn is needed to bring the UN system in line with the urgent needs of
planetary stewardship and earth system governance in the 21 st century. Yet how this
could be organized in practice remains a challenge and subject to political and
scholarly debate. This paper contributes to this debate by outlining four reforms of the
UN system that would advance global decision-making by addressing major
shortcomings in the current system: Lack of integration of economic and
environmental policies in the UN system; institutional fragmentation and weakness of
the environmental pillar of sustainable development; lack of high-level regulatory
competence and oversight regarding areas beyond national jurisdiction; and
insufficient integration of scientific insights into political decision-making. The
reforms proposed would together create an Earth Alliance in the UN system,
consisting of a high-level UN Sustainable Development Council, a World Environment
Organization, a UN Trusteeship Council for Areas beyond National Jurisdiction, and
an UN Global Environmental Assessment Commission.",,"In sum, the proposal of an “Earth Alliance” of UN agencies and programs would
constitute a major reform of the UN system. Yet it would not be without precedence
in national political systems, and not even in global governance. Economic, financial
and trade governance, in particular, has seen tremendous increases in global
institutionalization in recent decades, not the least by the creation of the powerful
regulatory systems under the World Trade Organization, the International Monetary
Fund and the World Bank. Yet sustainable development and planetary stewardship go
beyond mere economic growth, the main target of current economic governance.
Influential institutions are needed to protect the vital planetary systems on which
human survival depends. After the creation of the United Nations in 1945 to ensure
international peace, and the strengthening in the 1990s of economic governance systems, what is now needed is a new constitutional moment to strengthen the overall
institutional framework for effective governance of the interaction of human societies
with the planetary system.",,
"Globalization_ environmental movements, and international political opportunity structures.pdf",,,,,
Greening the United Nations charter_World politics in the anthropocene.pdf,"In the process of globalization, several international actors have emerged besides states. The intergovernmental
cooperation resulting from treaties or agreements in the forms of Intergovernmental Organizations (IGOs) has been
viewed as an appropriate mean for dealing with various issues in global and regional levels. Whilst IGOs may focus on
a wide range of areas such as education, culture, and political affairs, this study primarily addresses their roles and
activities in security, economy, health, and environment. To that aim, their evolution, roles, and activities were
elaborated through giving several examples of IGOs. The Union of International Associations’ (UIA) online database
about international organizations was examined through categorizing the IGOs’ main interests as security, economy,
health, and environment. The study compared and evaluated the quantities of IGOs considering their types and
interests. The number of established IGOs has increased along with the process of globalization. The present study
revealed that most IGOs have been established for economic purposes whilst security, health, and environment have
been other key interests of IGOs. Economy and security interests have been more common in universal and
intercontinental membership organizations. Economy and environment, on the other hand, have been more prevalent
purposes in other types of IGOs including regional and financial ones. Health has been the least common interest of
IGOs amongst the interests in question. The IGOs such as the UN and NATO have advanced their activities and become
more important in the last decades. The evolving role of IGOs shows that they will remain key actors in global system.",,"The advancements in communication and transportation technologies have accelerated globalization
processes since the 1990s. The roles and activities of intergovernmental organizations have enlarged in this
process. IGOs’ supervisory and regulatory roles have evolved and are highly varied today. The present
study revealed that most IGOs have been established for economic purposes. Security, health, and
environment have been other key interests of IGOs. The quantities of IGOs focusing on security, economy,
health and environment can be varied in all types of IGOs. Economy and security interests have been
common in universal and intercontinental membership organizations, whereas economy and environment
have been main purposes in the other types of IGOs including regional and financial ones.
The networks of IGOs in security and economic activities have become more complicated, and not
only states but also non-state actors have begun to cooperate with each other to solve global problems. The
associated increase in trans-governmental networks has led to an increase in the numbers and significance of
IGOs. For example, the UN’s roles and scope of activities have been expanded from security to a great many
areas. The UN has also been viewed as important because of its evolving role in filling the global governance
gaps in recent years. Additionally, globalization has led to changes in both the attitudes and structure of
economic global institutions such as the World Bank and the IMF and they became global authorities
considering the global community. NATO, a regional security organization, has changed its structure to deal
with evolving global security problems. These recent changes in the role of IGOs show that IGOs will
continue to be important actors in global arena.","Intergovernmental Organizations (IGOs), Roles and Activities of IGOs, Global Security, Economy, Health, Environment.",
Institutions for the earth_ sources of effective international environmental protection.pdf,"The ‘fragmentation’ of international law is used as a term of description and — more
commonly — as a lament. It emphasises the isolation and disconnect between regimes and
institutions and has particular resonance within international environmental law; a complex
regulatory field comprising multiple regimes and institutions giving rise to overlapping and,
occasionally, conflicting legal and policy mandates. This article will focus on the extent to which
environmental governance strategies, in particular, the creation of formal cooperative
arrangements and other institutional connections between multilateral environmental
agreements (‘MEAs’), can be deployed, not just to manage the consequences of overlap and
outright conflict between regimes, but also to maximise the benefits that arise from a confluence
between MEA mandates. This article will argue that these governance strategies represent an
important mechanism for managing the consequences of fragmentation and improving the
effectiveness of international environmental governance. Nevertheless, closer cooperation and
institutional integration among MEAs also raise serious questions relating to the accountability
of the regime to its state parties and, more generally, to the legitimacy of that regime. Moreover,
the impact of this new form of international environmental governance potentially extends
beyond the realm of international environmental law; these governance strategies arguably
challenge the fundamentals of the international legal system itself: who we regard as
participants within the system, what the sources of international law are and even international
law’s ultimate basis in consent",,,,
INTERNATIONAL ENVIRONMENTAL GOVERNANCE- MANAGING FRAGMENTATION THROUGH INSTITUTIONAL CONNECTION_Scott.pdf,,,,,
