Institutions,Cleaned Practical Vertical Coordination,Summarized Vertical Coordination,Themes
International Labour Organization (ILO),"The ILO collaborates with various organizations to achieve its objectives. It works closely with its tripartite constituents - governments, employers and workers - through the International Labour Conference, the Governing Body, and the Regional Meetings, which are the supreme organs of the ILO and set its policies and programmes . As the first specialized agency of the UN, the ILO's relationship with the UN is based on the Agreement between the UN and the International Labour Organization, which was approved by the General Assembly in 1946 and by the International Labour Conference in 1947 . Additionally, the ILO cooperates with other UN agencies and regional and subregional organizations, such as the UN Economic and Social Council, the UN Development Group, UNEP, UNIDO, UNDP, UNITAR, the World Bank, the IMF, the OECD, the African Union, the European Union, and the Organization of American States, on various aspects of labour and social issues, as stipulated in Article 12 and Article 13 of the ILO Constitution (https://www.ilo.org/wcmsp5/groups/public/---asia/---ro-bangkok/---ilo-hanoi/documents/publication/wcms_818973.pdf; https://www.ilo.org/pardev/partnerships/partnerships-and-relations/interagency-partnerships/lang--en/index.htm). The ILO is member of the UN Cluster on Trade and Productive Capacity through which it works with UNCTAD, ITC, UNIDO and UNOPS to enhance horticulture supply and sustainable tourism to develop business linkages in developing countries It also participates in the Regular Process for Global Reporting and Assessment of the Marine Environment, providing data on the social and economic dimensions of the marine sector, as recognized in resolution 57/141, paragraph .","The ILO coordinates with UN, EP, IDO, DP through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
 International Telecommunication Union (ITU),"ITU collaborates with various organizations to achieve its objectives. It engages with 193 Member States and over 900 Sector Members and Associates through the Plenipotentiary Conference, the supreme organ of the ITU, established by Article 8 of the Constitution of the ITU . As the specialized agency of the UN for telecommunications, information and communication technologies, ITU's relationship with the UN is based on the Agreement between the UN and the International Telecommunication Union, signed in 1947 . Additionally, ITU supports the implementation of the World Summit on the Information Society (WSIS) outcomes and the 2030 Agenda for Sustainable Development, providing a platform for multi-stakeholder dialogue and action on the role of ICTs in development, as recognized by resolution 70/125 of the UN General Assembly³. It also cooperates with other UN specialized agencies, such as UNESCO, WHO, and WMO, and other organizations, such as WTO, OECD, and ICANN, addressing common ICT issues and challenges . Moreover, ITU collaborated with the WMO and UNESCO-IOCJoint on the Joint Task Force on SMART Submarine repeaters equipped with scientific sensors for climate monitoring and disaster risk reduction (tsunami warnings) .","The ITU coordinates with Member States, UN, WSIS, ICT through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Children’s Fund (UNICEF) ,"UNICEF collaborates with a diverse range of organizations to achieve its objectives. It works with 193 Member States and various stakeholders through the Executive Board, serving as the governing body of UNICEF . As the leading UN agency for children's rights, UNICEF's relationship with the UN is based on resolution 57 (I) 57/60, which reaffirmed UNICEF's mandate and role within the UN system . Additionally, UNICEF supports the implementation of the Convention on the Rights of the Child (CRC) and other international and regional instruments and mechanisms that advance the rights and well-being of children and young people, as stated in resolution 57/60, paragraph 2 . It also partners with UN agencies and international financial institutions such as WHO, UNESCO, UNHCR, WFP, UNDP, and the World Bank, and other organizations such as the Global Partnership for Education, the Global Fund, and Gavi, addressing common challenges and opportunities for children . Moreover, UNICEF contributes to the 2030 Agenda for Sustainable Development, aligning its Strategic Plan 2022-2025 with the Sustainable Development Goals, as endorsed in resolution 70/1 .","The UN coordinates with ICEF, Member States, CRC, WHO through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
World Health Organization (WHO) ,"WHO collaborates with various organizations to achieve its objectives. It works with 194 Member States and various stakeholders through the World Health Assembly (WHA), established in 1948 by the Constitution of the WHO, serving as the supreme decision-making body for health . As a specialized agency within the UN system, WHO's relationship with the UN is based on the Agreement between the UN and the World Health Organization, effective since 10 July 1948, which defines the respective responsibilities and cooperation of the two organizations . Additionally, WHO supports various health-related conventions and treaties, providing legal and normative frameworks for specific health issues and situations, such as the Framework Convention on Tobacco Control and the International Health Regulations . It also collaborates with other UN agencies and partners, such as Gavi, The GFF, the Global Fund, UNAIDS, UNDP, UNFPA, UNICEF, UNITAID, UN Women, World Bank Group and WFP and WHO, addressing common health challenges . Moreover, WHO participates in the Inter-Agency Standing Committee (IASC), contributing to the coordination and delivery of humanitarian assistance, as endorsed by resolution 46/182 of the UN General Assembly .","The WHO coordinates with Member States, WHA, UN, GFF through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)","OHCHR collaborates with various organizations to promote and protect human rights . It works with the Human Rights Council (HRC), established in 2006 by resolution 60/251, serving as the main intergovernmental body responsible for human rights issues . As the secretariat of the HRC, OHCHR's relationship with the Council is based on resolution 48/141, paragraph 4 (b), which entrusts the High Commissioner with the task of making recommendations to the competent bodies of the UN system in the field of human rights . Additionally, OHCHR supports the treaty bodies and special procedures, providing substantive and technical assistance for the monitoring and implementation of international human rights instruments and standards, as mandated by resolution 48/141, paragraph 4 (a) and (d) . It also cooperates with UN agencies, funds and programmes, as well as regional and national human rights institutions, civil society organizations, and other actors, to enhance coordination and effectiveness of human rights activities throughout the UN system, as stipulated by resolution 48/141, paragraph 4 (h) and (i) . Moreover, OHCHR participates in the Universal Periodic Review (UPR), offering technical and logistical support for the peer review mechanism of the human rights situation of all UN Member States, as established by resolution 60/251, paragraph 5 (e) .","The OHCHR coordinates with HRC, UN, UPR, Member States through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Office for Disaster Risk Reduction (UNDRR),"UNDRR collaborates with various organizations to implement the Sendai Framework for Disaster Risk Reduction 2015-2030 . It works with the UN Office for the Coordination of Humanitarian Affairs (OCHA), the UN Development Programme (UNDP), and the UN Environment Programme (UNEP) to provide technical support and guidance to Member States and other stakeholders on disaster risk reduction, as stated in paragraph 48 (a) of the Sendai Framework . It also coordinates with the UN Framework Convention on Climate Change (UNFCCC), the UN Convention to Combat Desertification (UNCCD), and the Convention on Biological Diversity (CBD) to ensure coherence and synergies among the relevant instruments and frameworks, as stated in paragraph 48 (b) of the Sendai Framework . Additionally, UNDRR engages with the scientific and technological community, the private sector, civil society, and other relevant actors to foster partnerships and innovation for disaster risk reduction, as stated in paragraph 48 (c) and (d) of the Sendai Framework . Moreover, UNDRR supports the Global Platform for Disaster Risk Reduction, the regional and subregional platforms for disaster risk reduction, and the thematic platforms, as well as the UN Scientific and Technical Advisory Group, to facilitate dialogue, cooperation, and knowledge-sharing on disaster risk reduction, as stated in paragraph 49 of the Sendai Framework .","The UN coordinates with DRR, OCHA, DP, EP through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
UN Global Compact Office,"The UN Global Compact cooperates with various organizations to achieve its objectives. It works with the UN Secretary-General and the UN Global Compact Board, which provide strategic guidance and oversight for the initiative, as per resolution 73/254, paragraph 15 ([1]. As a voluntary platform for businesses to align with the UN values and principles, the UN Global Compact's relationship with the UN is based on resolution 55/215, which endorsed the initiative in 2000 . Additionally, the UN Global Compact supports the UN's development agenda and the Sustainable Development Goals, providing a framework for business action and partnerships, as affirmed in resolution 70/1, paragraph 67 . It also partners with UN specialized agencies, funds and programmes, such as UNDP, UNICEF, UN Women, and UNEP, as well as other organizations such as the International Labour Organization, the Office of the High Commissioner for Human Rights, and the UN Office on Drugs and Crime, addressing relevant issues and sectors . Moreover, the UN Global Compact engages with its participants and stakeholders, including over 13,000 companies and 3,800 non-business signatories from 160 countries, through its Local Networks, platforms, programmes, and initiatives , as outlined in resolution 73/254, paragraph 16 .","The UN coordinates with DP, ICEF, EP through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
International Atomic Energy Agency (IAEA),"The IAEA collaborates with various organizations to achieve its objectives. It engages with 178 Member States and various stakeholders through the General Conference, which is the highest policy-making body of the Agency and meets annually to approve the programme and budget, as well as the Board of Governors, which consists of 35 Member States and meets five times a year to examine and make recommendations to the General Conference on the IAEA's accounts, programme and budget, and to consider applications for membership . As an autonomous organization within the UN system, the IAEA's relationship with the UN is guided by an agreement signed in 1957, which stipulates that the Agency shall report annually to the General Assembly and, when appropriate, to the Security Council, and shall cooperate with the Economic and Social Council and other specialized agencies . Additionally, the IAEA supports the implementation of the Treaty on the Non-Proliferation of Nuclear Weapons (NPT) and other international legal instruments and initiatives related to nuclear safety, security, and cooperation, providing verification and inspection services, technical assistance, and policy guidance for Member States, as detailed in the IAEA Statute, Article III . It also cooperates with other UN agencies and organizations, such as WHO, FAO, UNEP, and OECD/NEA, as well as regional and intergovernmental organizations, such as the European Union, the African Union, and the Organization of American States, addressing common nuclear issues and challenges, as recognized in various resolutions and agreements , , .","The IAEA coordinates with Member States, UN, NPT, III through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
World Meteorological Organization (WMO),"The WMO collaborates with key organizations to fulfill its objectives. It engages with 193 Member States and various stakeholders through the World Meteorological Congress, serving as the highest-level meteorological decision-making body . As the primary meteorological authority within the UN system, WMO's relationship with the UN is grounded in Part XII, Article 25 of the Convention of the World Meteorological Organization , pursuant to Article 57 of the Charter of the UN . Additionally, WMO supports National Meteorological and Hydrological Services (NMHSs) and advances the application of meteorology and hydrology in many societal and economic areas . Pursuant to Part XIII, Article 26 of its convention, WMO collaborates with UN specialized agencies, multilateral development banks, climate funds and others, addressing shared meteorological concerns . Moreover, WMO contributes to the Sustainable Development Goals (SDGs), the Sendai Framework for Disaster Risk Reduction, and the UN Framework Convention on Climate Change . Furthermore, WMO maintains a relationship with the public, private, and academic sectors operating in the global weather arena through its Public-Private Engagement (PPE) initiative . This initiative encourages and enables Members to pursue mutually beneficial partnerships and engagement with all sectors and stakeholders in order to enhance weather, climate, and water services for businesses, individuals, and society as a whole . Finally, WMO facilitates the Voluntary Cooperation Programme (VCP), which focuses on meeting urgent needs of Members through direct financing, small grants and transfer of expertise and technology .","The WMO coordinates with Member States, UN, XII, NMHS through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
Organisation for Economic Co-operation and Development (OECD),"OECD collaborates with various organizations to promote economic co-operation and development. It maintains relations with the European Communities, established by the Treaties of Paris and Rome of 18th April, 1951, and 25th March, 1957, as defined in Supplementary Protocol No. 1 to the Convention on the Organisation for Economic Co-operation and Development (OECD Convention), article 13 . It also enters into agreements with Members, non-member States and international organizations, as provided for in OECD Convention, article 5 (c) . Additionally, OECD participates in the activities of other international organizations or institutions, such as the UN, the World Bank, the IMF, and the WTO, in a manner consistent with its obligations, as stated in OECD Convention, article 1 (c) . It also contributes to the economic development of both Member and non-member countries in the process of economic development, by appropriate means and, in particular, by the flow of capital to those countries, as agreed in OECD Convention, article 2 (e) . Moreover, OECD supports the further expansion of world trade on a multilateral, non-discriminatory basis, as one of the most important factors favouring the economic development of countries and the improvement of international economic relations, as affirmed in OECD Convention, article 1 (c) .","The OECD coordinates with UN, IMF, WTO through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
 World Bank Group (WBG) ,"The WBG collaborates with a wide range of partners and stakeholders, working closely with its five constituent institutions to achieve its defined objectives . The WBG also engages with the International Monetary Fund (IMF), which shares the same premises and some common services, and cooperates on various policy and operational issues . Furthermore, it partners with other multilateral and bilateral development agencies, civil society organizations, private sector entities, foundations, and academic institutions, to leverage knowledge, resources, and expertise for development solutions . The WBG participates in various global initiatives and platforms, such as the Global Environment Facility (GEF) , the Global Partnership for Education (GPE) , the Global Financing Facility (GFF) , and the Global Infrastructure Facility (GIF) , to address specific development challenges and opportunities .","The WBG coordinates with IMF, GEF, GPE, GFF through frameworks to advance development.",Multi-Level Governance Structures;Technical and Capacity-Building Support
International Monetary Fund (IMF),"The IMF collaborates with various institutions to achieve its goals and objectives, working closely with the World Bank in program design and monitoring. This collaboration is based on the IMF’s mandate and limited resources, drawing on the expertise of the World Bank and other relevant institutions as detailed in the IMF Pamphlet Series - No. 47, under the section “Collaboration with Other Institutions in Program Design and Monitoring” . The IMF also maintains a relationship with the UN Development Programme (UNDP) and the International Labour Organization (ILO). The IMF assists member countries in integrating social policies in the macroeconomic framework developed in close collaboration with these institutions. Collaboration between the IMF and the World Trade Organization (WTO) has been substantially strengthened on trade issues. This is detailed in the IEO Update on the IMF’s involvement in international trade policies. The IMF’s engagement with regional development banks and bilateral donor agencies is also noteworthy . Coordination between these institutions helps to minimize the burden on member countries, especially those with low administrative capacity that engage with multiple IOs .","The IMF coordinates with UN, DP, ILO, WTO through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
International Hydrographic Organization (IHO) ,"The IHO collaborates with various organisations to achieve its objectives. It engages with its 99 Member States and other stakeholders through the Assembly . The IHO enjoys observer status in the UN and is particularly active in a number of its subordinate organisations, most notably the International Maritime Organisation (IMO) and the Intergovernmental Oceanographic Commission (IOC) . Additionally, the IHO supports the implementation of the UN Sustainable Development Goals (SDGs), especially SDG 14 on Life Below Water, by providing hydrographic data and information for safe, secure and sustainable use of the oceans . It also cooperates with other UN specialized agencies and programmes, such as IMO, IOC, UNEP, UNDP, and WMO, and other organizations, such as ISA, ITLOS, IALA, and ICG/IOC, addressing shared hydrographic and oceanographic issues . Moreover, the IHO contributes to the UN Decade of Ocean Science for Sustainable Development (2021-2030) , offering expertise and standards for ocean mapping and observation, as acknowledged in UN resolution 72/73, paragraph 14 .","The IHO coordinates with Member States, UN, IMO, IOC through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
 International Council for the Exploration of the Sea (ICES),"ICES collaborates with various organizations, partners and stakeholders to achieve its defined objectives. ICES has established formal cooperation agreements with the Intergovernmental Oceanographic Commission of UNESCO (IOC/UNESCO) and the Food and Agriculture Organization of the UN (FAO) . As an observer to the UN General Assembly, ICES contributes and engages actively in relevant work, such as working towards the Sustainable Development Goals ; contributing to the UN Decade of Ocean Science for Sustainable Development (UNESCO/IOC); the Informal Consultations of States Parties to the UN Fish Stocks Agreement; and the UN Open-ended Informal Consultative Process in Oceans and the Law of the Sea . ICES also expands its human capacity building services thematically and geographically by organizing a series of training courses for the Large Marine Ecosystem practitioners under the GEF/UNDP ‘Strengthening Global Governance of Large Marine Ecosystems and Their Coasts through Enhanced Sharing and Application of LME/ICM/MPA Knowledge and Information Tools’ LME-LEARN project .","The ICES coordinates with UN, ESCO, IOC, FAO through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),"IPBES collaborates with key organisations to support biodiversity and ecosystem services. It has an institutional link with the UN Environment Programme, the UN Educational, Scientific and Cultural Organization, the Food and Agriculture Organization of the UN and the UN Development Programme, based on a collaborative partnership arrangement approved by the Plenary in its decision IPBES-2/8 . Similarly, IPBES has memoranda of understanding with several strategic partners, such as Future Earth, the Global Biodiversity Information Facility, the Inter-American Institute for Global Change Research, and the International Union for Conservation of Nature, as requested by the Plenary in its decision IPBES-4/4 . Additionally, IPBES engages with various multilateral environmental agreements related to biodiversity and ecosystem services, such as the Convention on Biological Diversity, the Convention on International Trade in Endangered Species of Wild Fauna and Flora, the Convention on Migratory Species, the Ramsar Convention on Wetlands, and the World Heritage Convention, as reported by the Executive Secretary in document IPBES/5/INF/16 . It also involves a large number of NGOs, organizations, conventions and civil society groupings as observers in the formal IPBES process, with several thousand individual stakeholders contributing to and benefiting from its work . Moreover, IPBES supports the recognition and engagement of Indigenous peoples and local communities and their knowledge systems in its activities, as outlined in its approach adopted by the Plenary in its decision IPBES-4/1 .","The IPBES coordinates with UN, INF, NGO through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
