Institutions,Cleaned Strategies,Summarized Strategies,Themes
International Labour Organization (ILO),"ILO implements its objectives through strategic planning and operational frameworks. Its four-year Strategic Plan for 2022-2025, approved by the Governing Body, aligns with its mission of social justice and the 2030 Agenda for Sustainable Development (GB.340/PFA/1(Rev.1)) . The biennial programme and budget for 2022-2023, adopted by the International Labour Conference, outlines policy outcomes, indicators, and resources to operationalize the Strategic Plan, reflecting constituents' needs (GB.341/PFA/22) . Furthermore, the ILO Administrative Tribunal, established in 1927, adjudicates complaints from officials of the ILO and affiliated organizations (following Chapter III Article 37 (2) of the ILO Constitution), delivering around 120 judgments annually . Likewise, the ILO’s Decent Work Agenda, comprising four pillars—rights at work, employment, social protection, and social dialogue—was formalized in 2008 (ILO’s Declaration on Social Justice for a Fair Globalization) is a key area of engagement for the ILO and its constituents . Also, the DW4SD Resource Platform offers online resources on themes related to ILO’s mandate and SDGs, featuring good practices and policy outcomes . These strategies collectively ensure the effective fulfilment of ILO's mandate for global labour standards and social justice.","The ILO drives strategies through plans, advancing development.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
 International Telecommunication Union (ITU),"The ITU executes its objectives via several strategies: firstly, a four-year Strategic Plan, revised every four years by the Plenipotentiary Conference, which establishes the ITU's vision, mission, strategic goals, core functions, and targets . This plan, applicable for 2024-2027, aligns with the Connect 2030 Agenda and the 2030 Agenda for Sustainable Development, detailed in Resolution 71 (Rev. Bucharest, 2022) . Secondly, a biennial programme budget and operational plan, devised by the ITU Council and ratified by the Plenipotentiary Conference, detail activities, outputs, indicators, and resources corresponding to each strategic goal. The current budget and operational plan for 2022-2023 are tailored to the Member States' and Sector Members' needs and priorities, as outlined in Resolution 154 (Rev. Dubai, 2018) . It also maintains the databases and registries for the allocation and assignment of radio frequencies, satellite orbits, and numbering resources, which are essential for the coordination and management of the global telecommunication network . Finally, various standards, regulations, resolutions, recommendations, and initiatives provide a technical and regulatory framework for implementing the Constitution and Convention of the ITU, addressing connectivity, digital transformation, innovation, and partnership, with key instruments listed here .","The ITU drives strategies through plans, advancing development.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
United Nations Children’s Fund (UNICEF) ,"UNICEF implements its objectives through several key strategies: firstly, a four-year Strategic Plan (2022-2025), revised by the Executive Board, outlining UNICEF’s vision, mission, and goals aligned with the Convention on the Rights of the Child and the Sustainable Development Goals (SDGs) , detailed in document E/ICEF/2021/11 . Secondly, a biennial Integrated Results and Resources Framework (2022-2025) specifies expected results, indicators, and resources for each Strategic Plan outcome, based on a theory of change and results-based management , as outlined in document E/ICEF/2021/12 . UNICEF also focuses on monitoring the implementation of the Convention on the Rights of the Child . Additionally, UNICEF's Data for Children Strategic Framework sets principles for data work, including action, innovation, and trust, with strategic objectives like improving data quality and fostering data partnerships . The UNICEF Disability Inclusion Policy and Strategy (DIPAS) 2022-2030 aligns with the CRPD, CRC, and UNDIS, setting priorities for disability-inclusive services and participation . Finally, the UNICEF 2021-2030 Child Protection Strategy aligns with the CRC and SDGs, focusing on strengthening child protection systems, addressing harmful social norms, leveraging partnerships, and enhancing evidence for child protection . These comprehensive strategies enable UNICEF to deliver results for children globally, including in humanitarian and fragile contexts.","The UN drives strategies through frameworks, advancing development.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
World Health Organization (WHO) ,"The WHO executes its objectives via several strategies: firstly, a five-year General Programme of Work, approved by the World Health Assembly, which sets the strategic direction, priorities, and budget of the organization . This plan, applicable for 2019-2025, aligns with the 2030 Agenda for Sustainable Development and the triple billion targets of achieving universal health coverage, addressing health emergencies, and promoting healthier populations. Secondly, a biennial Programme Budget, proposed by the Director-General and adopted by the World Health Assembly, which details the expected results, indicators, and resources for each strategic priority and programme area . The current budget for 2022-2023 is based on the Thirteenth General Programme of Work and reflects the needs and priorities of Member States and partners . Thirdly, various global health sector strategies, developed in consultation with Member States and stakeholders, which provide a comprehensive and coherent approach to address specific health issues, such as HIV, viral hepatitis, and sexually transmitted infections. These strategies, applicable for 2022-2030, propose a common vision, goals, and strategic directions for ending epidemics and advancing universal health coverage, primary health care, and health security . Finally, various resolutions, decisions, and recommendations, adopted by the World Health Assembly and the Executive Board, which provide policy guidance and oversight for the implementation of the WHO's objectives and mandates. These include addressing health emergencies, communicable and non-communicable diseases, health systems, health promotion, and health governance, with key instruments listed here .","The WHO drives strategies through plans, advancing governance.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)","The OHCHR executes its objectives via several strategies: firstly, a four-year Management Plan, revised biennially by the High Commissioner, which establishes the OHCHR's vision, mission, priorities, results and strategies . This plan, applicable for 2022-2023, aligns with the Universal Declaration of Human Rights and the international human rights treaties, as well as the UN's 2030 Agenda for Sustainable Development . It also maintains the Universal Human Rights Index, a database of the recommendations and observations issued by the human rights mechanisms, a key aspect of the implementation of the human rights standards . Finally, various agreements, mechanisms, platforms, and initiatives provide an operational framework for implementing the OHCHR's mandate, addressing civil, political, economic, social and cultural rights, as well as the right to development, with key instruments listed here .","The OHCHR drives strategies through plans, advancing development.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning
United Nations Office for Disaster Risk Reduction (UNDRR),"The UNDRR executes its objectives via several strategies: firstly, a four-year Strategic Framework, revised annually by the General Assembly, which establishes the UNDRR's vision, mission, strategic objectives, expected accomplishments, and indicators of achievement . This framework, applicable for 2022-2025, aligns with the Sendai Framework and the 2030 Agenda for Sustainable Development, detailed in document A/76/6 (Sect. 23) ). Secondly, a biennial programme plan and budget, devised by the secretariat and approved by the General Assembly, detail activities, outputs, resources, and performance information corresponding to each strategic objective. The current programme plan and budget for 2022-2023 are tailored to the Member States' needs and stakeholders' priorities, as outlined in document A/76/6/Add.1 . It also maintains the Sendai Framework Monitor, a key tool for the monitoring and review of the Sendai Framework and the disaster risk reduction-related Sustainable Development Goals . Finally, various agreements, mechanisms, platforms, and initiatives provide an operational framework for coordinating and guiding disaster risk reduction across the UN system and beyond, addressing governance, resilience, preparedness, recovery, and financing, with key instruments listed here ."" Through the revised UN plan of action on disaster risk reduction for resilience, the UNDRR executes its commitments to the implementation of the Sendai Framework and integrated approach to the achievement of the 2030 Agenda for Sustainable Development .","The UN drives strategies through plans, advancing governance.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
UN Global Compact Office,"The UN Global Compact implements its objectives through several strategies: firstly, a three-year Strategy, endorsed by the UN Secretary-General and the UN Global Compact Board, which sets the vision, mission, strategic goals, core functions, and targets for the initiative . This strategy, applicable for 2021-2023, aligns with the Ten Principles of the UN Global Compact and the 2030 Agenda for Sustainable Development, detailed in resolution 73/254 of the UN General Assembly . It also maintains the Communication on Progress (COP) policy, which requires participating companies to report annually on their progress in implementing the Ten Principles and contributing to the Global Goals, a key aspect of the accountability and transparency of the UN Global Compact . Finally, various programmes, platforms, networks, and initiatives provide an operational framework for advancing the Ten Principles and the Global Goals, addressing human rights, labour, environment, and anti-corruption","The UN drives strategies through frameworks, advancing development.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
International Atomic Energy Agency (IAEA),"The IAEA executes its objectives via several strategies: firstly, a six-year Medium Term Strategy, prepared through a joint consultation process among Member States and the Secretariat, which establishes the Agency's strategic direction and roadmap for the preparation of its programme and budget, by identifying priorities among and within its programmes for the achievement of its statutory objectives in an evolving international environment . This strategy, applicable for 2024-2029, draws upon the previous Medium Term Strategy 2018-2023 and may be updated, if deemed necessary by the Board of Governors, adapting to new developments and evolving needs and priorities of Member States . Secondly, a biennial programme and budget, approved by the General Conference, which details the expected results, performance indicators, and resources corresponding to each major programme area. The current programme and budget for 2022-2023 are aligned with the Medium Term Strategy 2018-2023 and reflect the Agency's response to the COVID-19 pandemic, as well as its support to the implementation of the 2030 Agenda for Sustainable Development . It also maintains the safeguards system, which verifies the compliance of States with their non-proliferation and disarmament obligations, as well as the technical cooperation programme, which assists Member States in the peaceful application of nuclear science and technology . Finally, various legal instruments, initiatives, platforms, and networks provide an operational framework for implementing the Agency's mandate, addressing nuclear safety, security, and cooperation .","The IAEA drives strategies through frameworks, advancing development.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
World Meteorological Organization (WMO),"The WMO Secretariat executes its objectives via several strategies: firstly, a Strategic Plan, revised every four years by the World Meteorological Congress, which establishes the secretariat's vision, mission, strategic goals, core functions, and targets . The current plan, applicable for 2024-2027, aligns with the WMO's mandate to advance meteorological, climatological, hydrological, and related environmental services . Secondly, a Results-based Budget, devised by the secretariat and ratified by the World Meteorological Congress, detail resources for implementation of the Strategic Plan, including the functioning of constituent bodies and the Secretariat . Finally, various agreements, mechanisms, platforms, and initiatives provide an operational framework for implementing the WMO's mandate, addressing meteorology, hydrology, climatology, and related environmental disciplines . These regulatory provisions make it possible to operate the 24/7/365 global systems for observations, data exchange and management, forecasting and provision of authoritative scientific assessments and standardized service products to a variety of users in each WMO Member State and Member Territory . The WMO also has a Competency Framework that helps Members design their services for effective delivery, assist in staffing decisions, guide the performance assessment of staff members, and offer recommended learning outcomes to use in planning training programmes . In addition to these, the WMO has Resolutions, Decisions and Recommendations adopted by the Congress, Executive Council, Regional Associations and Technical Commissions in force . These resolutions and decisions guide the overall progress towards achieving departmental targets and organizational objectives and goals.","The WMO drives strategies through plans, advancing development.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
Organisation for Economic Co-operation and Development (OECD),"The OECD executes its objectives through multiple strategies, aligning with its mission to foster global development. The OECD Action Plan on the Sustainable Development Goals adopted by the Council of Minster outlines how the OECD supports the 2030 Agenda, highlighting key areas like tracking SDG progress, policy analysis and advice, global dialogue, and internal sustainability practices . Also, the OECD Biannual Strategic Orientations of the Secretary-General present the organization's vision and mission, guiding its work programme and activities, reflecting challenges like the COVID-19 pandemic, digital transformation, green transition, inclusiveness in globalization, and multilateralism, which the current document runing from 2023 to 2024 . Furthermore, the OECD's result based budget and programme of work, determined biennially by member countries, detail strategic objectives, expected results, and resource allocation for work areas, aligned with the Secretary-General's Strategic Orientations . Strategic Foresight Unit for structured future planning, using tools like scenarios and visioning to prepare for change . The OECD develops strategic plans for different domains such as skills , energy , etc. These comprehensive strategies enable the OECD to deliver effective policies and foster global development","The OECD drives strategies through plans, advancing development.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
 World Bank Group (WBG) ,"The World Bank Group executes its objectives via several strategies: firstly, a World Bank Group Strategy adopted in 2013, based on the principles of country ownership, evidence-based solutions, and global and regional integration . Secondly, a World Bank Group Evolution Roadmap that outlines the key actions and reforms to implement the WBG Strategy and enhance the WBG's effectiveness and efficiency . This roadmap, endorsed by the Board of Governors in 2020, focuses on four pillars: (i) strengthening country platforms and partnerships, (ii) enhancing the WBG's financial and operational capacity, (iii) improving the WBG's business model and internal processes, and (iv) fostering a culture of innovation and learning. Thirdly, a set of thematic and sector strategies that provide the strategic framework and guidance for the WBG's engagement in specific areas of development, such as gender, climate change, fragility and conflict, human capital, infrastructure, and private sector development. These strategies are aligned with the WBG Strategy and the 2030 Agenda for Sustainable Development, and are informed by global knowledge and evidence . In addition, the WBG prepares Country Partnership Frameworks (CPFs) and Regional Partnership Frameworks (RPFs) that define the WBG's support to individual countries and regions, based on their development priorities, challenges, and opportunities. These frameworks are developed in consultation with the governments, civil society, and other stakeholders, and are aligned with the WBG Strategy and the country's own development strategy . The WBG also maintains various initiatives, platforms, and funds that provide the operational and financial instruments for addressing specific development challenges and opportunities while engaging in partnerships, coalitions, and networks that provide the collaborative framework for enhancing the impact and effectiveness of the WBG's interventions, leveraging the comparative advantages and resources of different actors, and addressing cross-cutting issues such as governance, data, and innovation .","The WBG drives strategies through frameworks, advancing governance.",Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
International Monetary Fund (IMF),"The IMF implements its objectives through several strategies. The IMF’s capacity development strategy is reviewed every five years to ensure its relevance and effectiveness . The latest review, conducted in 2023, reaffirmed the two main objectives of increasing the impact and efficiency of capacity development, and proposed several recommendations to achieve them. The review also highlighted the importance of integrating capacity development with surveillance and lending, tailoring and modernizing delivery, enhancing internal and external coordination and communication, and improving management processes and systems. The IMF’s capacity development strategy is guided by the principles and priorities set out in document IMF/18/4/Rev.1 . The IMF’s surveillance strategy is also reviewed periodically to adapt to the changing global environment and the needs of the membership. The most recent review, completed in 2019, focused on enhancing the quality, traction, and evenhandedness of surveillance, and identified four priority areas for action: strengthening the analysis of macro-financial linkages, governance and corruption, external sector assessments, and policy trade-offs and spillovers. The IMF’s surveillance strategy is based on the principles and modalities specified in document IMF/19/68/Rev.1 . The IMF’s lending strategy is designed to help members restore macroeconomic stability, foster growth and reduce poverty, and safeguard the stability of the international monetary system. The IMF’s lending strategy is informed by regular reviews of its lending policies and facilities, as well as the lessons learned from its program experience. The latest review, conducted in 2019, assessed the adequacy and effectiveness of the Fund’s lending toolkit, and proposed some modifications and enhancements to better meet the diverse needs of the membership. The IMF’s lending strategy is governed by the rules and procedures established in document IMF/19/69/Rev.1 .","The IMF drives strategies through frameworks, advancing governance.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning
International Hydrographic Organization (IHO) ,"The IHO executes its objectives via several strategies: firstly, a six-year Strategic Plan, revised annually by the Council, which identifies specific strategic goals and targets that will direct the IHO's Work Programme in a way that will foster the IHO vision, mission, and objectives. This plan, applicable for 2021-2026, addresses the growing need for hydrographic knowledge, the progress in sensors, carriers and IT technology, the data revolution, and the increasing environmental, societal and economic attention to the Ocean . Secondly, a 3-yearly budgetary cycle and work programme, devised by the Secretariat and approved by the Assembly, details the activities, outputs, indicators, and resources corresponding to each strategic goal . The current budget and work programme for 2024-2026 are aligned with the Strategic Plan and the priorities of the Member States. Finally, various standards, specifications, guidelines, mechanisms, platforms, and initiatives provide an operational framework for implementing the IHO objects, addressing hydrographic data, products, services, techniques, capacity building, and cooperation, with key instruments listed here .","The IHO drives strategies through plans, advancing development.",Adaptive Policy Development;Evidence-Based Decision Making;Long-Term Vision Planning;Operational Resource Allocation
 International Council for the Exploration of the Sea (ICES),"ICES executes its objectives via several strategies. Firstly, ICES has a Strategic Plan that defines its direction and priorities relating to science, data, and advice, and to develop the capacity needed to fulfill this commitment. This plan is supported by a Science Plan and an Advisory Plan . The Science Plan highlights seven interrelated scientific priorities and how ICES network will address them. Secondly, ICES is a leading multidisciplinary scientific forum for the exchange of information and ideas on all aspects of marine sciences. It promotes, encourages, develops, and coordinates marine research through data sharing . It also publishes and disseminates results of research and provides non-biased, non-political scientific advice to member nation governments and international regulatory commissions . Thirdly, ICES has a collection of helpful guides and policies that help understand how to work with data, and how ICES receives and outputs data . It also has a system of committees, more than 100 working groups, symposia, and an Annual Science Conference . Finally, ICES is committed to building a foundation of science around one key challenge: integrated ecosystem understanding of marine ecosystems. ICES advances this through the coordination of oceanic and coastal monitoring and research, and advises international commissions and governments on marine policy and management issues .","The ICES drives strategies through plans, advancing development.",Adaptive Policy Development;Evidence-Based Decision Making;Long-Term Vision Planning
